PHL.5.12_1,PHL,Philippines,PHL.5_1,Albay,NA,Manito,NA,NA,Bayan|Munisipyo,Municipality,50511,PH.AL.MN
PHL.5.13_1,PHL,Philippines,PHL.5_1,Albay,NA,Oas,NA,NA,Bayan|Munisipyo,Municipality,50512,PH.AL.OS
PHL.5.14_1,PHL,Philippines,PHL.5_1,Albay,NA,Pio Duran,NA,NA,Bayan|Munisipyo,Municipality,50513,PH.AL.PO
PHL.5.15_1,PHL,Philippines,PHL.5_1,Albay,NA,Polangui,NA,NA,Bayan|Munisipyo,Municipality,50514,PH.AL.PL
PHL.5.16_1,PHL,Philippines,PHL.5_1,Albay,NA,Rapu-Rapu,NA,NA,Bayan|Munisipyo,Municipality,50515,PH.AL.RP
PHL.5.17_1,PHL,Philippines,PHL.5_1,Albay,NA,Santo Domingo,NA,NA,Bayan|Munisipyo,Municipality,50516,PH.AL.SD
PHL.5.18_1,PHL,Philippines,PHL.5_1,Albay,NA,Tabaco City,NA,NA,Lungsod|Siyudad,City,50517,PH.AL.TB
PHL.5.19_1,PHL,Philippines,PHL.5_1,Albay,NA,Tiwi,NA,NA,Bayan|Munisipyo,Municipality,50518,PH.AL.TW
PHL.6.1_1,PHL,Philippines,PHL.6_1,Antique,NA,Anini-Y,NA,NA,Bayan|Munisipyo,Municipality,60601,PH.AQ.AI
PHL.6.2_1,PHL,Philippines,PHL.6_1,Antique,NA,Barbaza,NA,NA,Bayan|Munisipyo,Municipality,60602,PH.AQ.BR
PHL.6.3_1,PHL,Philippines,PHL.6_1,Antique,NA,Belison,NA,NA,Bayan|Munisipyo,Municipality,60603,PH.AQ.BL
PHL.6.4_1,PHL,Philippines,PHL.6_1,Antique,NA,Bugasong,NA,NA,Bayan|Munisipyo,Municipality,60604,PH.AQ.BG
PHL.6.5_1,PHL,Philippines,PHL.6_1,Antique,NA,Caluya,NA,NA,Bayan|Munisipyo,Municipality,60605,PH.AQ.CA
PHL.6.6_1,PHL,Philippines,PHL.6_1,Antique,NA,Culasi,NA,NA,Bayan|Munisipyo,Municipality,60606,PH.AQ.CU
PHL.6.7_1,PHL,Philippines,PHL.6_1,Antique,NA,Hamtic,NA,NA,Bayan|Munisipyo,Municipality,60608,PH.AQ.HM
PHL.6.8_1,PHL,Philippines,PHL.6_1,Antique,NA,Laua-An,NA,NA,Bayan|Munisipyo,Municipality,60609,PH.AQ.LU
PHL.6.9_1,PHL,Philippines,PHL.6_1,Antique,NA,Libertad,NA,NA,Bayan|Munisipyo,Municipality,60610,PH.AQ.LB
PHL.6.10_1,PHL,Philippines,PHL.6_1,Antique,NA,Pandan,NA,NA,Bayan|Munisipyo,Municipality,60611,PH.AQ.PN
PHL.6.11_1,PHL,Philippines,PHL.6_1,Antique,NA,Patnongon,NA,NA,Bayan|Munisipyo,Municipality,60612,PH.AQ.PT
PHL.6.12_1,PHL,Philippines,PHL.6_1,Antique,NA,San Jose,NA,NA,Bayan|Munisipyo,Municipality,60613,PH.AQ.SJ
PHL.6.13_1,PHL,Philippines,PHL.6_1,Antique,NA,San Remigio,NA,NA,Bayan|Munisipyo,Municipality,60614,PH.AQ.SR
PHL.6.14_1,PHL,Philippines,PHL.6_1,Antique,NA,Sebaste,NA,NA,Bayan|Munisipyo,Municipality,60615,PH.AQ.SE
PHL.6.15_1,PHL,Philippines,PHL.6_1,Antique,NA,Sibalom,NA,NA,Bayan|Munisipyo,Municipality,60616,PH.AQ.SI
PHL.6.16_1,PHL,Philippines,PHL.6_1,Antique,NA,Tibiao,NA,NA,Bayan|Munisipyo,Municipality,60617,PH.AQ.TB
PHL.6.17_1,PHL,Philippines,PHL.6_1,Antique,NA,Tobias Fornier,Dao,NA,Bayan|Munisipyo,Municipality,60607,PH.AQ.TF
PHL.6.18_1,PHL,Philippines,PHL.6_1,Antique,NA,Valderrama,NA,NA,Bayan|Munisipyo,Municipality,60618,PH.AQ.VL
PHL.7.1_1,PHL,Philippines,PHL.7_1,Apayao,NA,Calanasan,Bayag,NA,Bayan|Munisipyo,Municipality,148101,PH.AP.CL
PHL.7.2_1,PHL,Philippines,PHL.7_1,Apayao,NA,Conner,NA,NA,Bayan|Munisipyo,Municipality,148102,PH.AP.CN
PHL.7.3_1,PHL,Philippines,PHL.7_1,Apayao,NA,Flora,NA,NA,Bayan|Munisipyo,Municipality,148103,PH.AP.FO
PHL.7.4_1,PHL,Philippines,PHL.7_1,Apayao,NA,Kabugao,NA,NA,Bayan|Munisipyo,Municipality,148104,PH.AP.KB
PHL.7.5_1,PHL,Philippines,PHL.7_1,Apayao,NA,Luna,NA,NA,Bayan|Munisipyo,Municipality,148105,PH.AP.LN
PHL.7.6_1,PHL,Philippines,PHL.7_1,Apayao,NA,Pudtol,NA,NA,Bayan|Munisipyo,Municipality,148106,PH.AP.PD
PHL.7.7_1,PHL,Philippines,PHL.7_1,Apayao,NA,Santa Marcela,NA,NA,Bayan|Munisipyo,Municipality,148107,PH.AP.SM
PHL.8.1_1,PHL,Philippines,PHL.8_1,Aurora,NA,Baler,NA,NA,Bayan|Munisipyo,Municipality,37701,PH.AU.BL
PHL.8.2_1,PHL,Philippines,PHL.8_1,Aurora,NA,Casiguran,NA,NA,Bayan|Munisipyo,Municipality,37702,PH.AU.CS
PHL.8.3_1,PHL,Philippines,PHL.8_1,Aurora,NA,Dilasag,NA,NA,Bayan|Munisipyo,Municipality,37703,PH.AU.DL
PHL.8.4_1,PHL,Philippines,PHL.8_1,Aurora,NA,Dinalungan,NA,NA,Bayan|Munisipyo,Municipality,37704,PH.AU.DI
PHL.8.5_1,PHL,Philippines,PHL.8_1,Aurora,NA,Dingalan,NA,NA,Bayan|Munisipyo,Municipality,37705,PH.AU.DN
PHL.8.6_1,PHL,Philippines,PHL.8_1,Aurora,NA,Dipaculao,NA,NA,Bayan|Munisipyo,Municipality,37706,PH.AU.DP
PHL.8.7_1,PHL,Philippines,PHL.8_1,Aurora,NA,Maria Aurora,NA,NA,Bayan|Munisipyo,Municipality,37707,PH.AU.MR
PHL.8.8_1,PHL,Philippines,PHL.8_1,Aurora,NA,San Luis,NA,NA,Bayan|Munisipyo,Municipality,37708,PH.AU.SL
PHL.9.1_1,PHL,Philippines,PHL.9_1,Basilan,NA,Akbar,NA,NA,Bayan|Munisipyo,Municipality,150708,NA
PHL.9.2_1,PHL,Philippines,PHL.9_1,Basilan,NA,Al-Barka,NA,NA,Bayan|Munisipyo,Municipality,150709,NA
PHL.9.3_1,PHL,Philippines,PHL.9_1,Basilan,NA,Hadji Mohammad Ajul,NA,NA,Bayan|Munisipyo,Municipality,150710,NA
PHL.9.4_1,PHL,Philippines,PHL.9_1,Basilan,NA,Isabela City,NA,NA,Lungsod|Siyudad,City,99701,PH.BS.IA
PHL.9.5_1,PHL,Philippines,PHL.9_1,Basilan,NA,Lamitan City,NA,NA,Lungsod|Siyudad,City,150702,PH.BS.LM
PHL.9.6_1,PHL,Philippines,PHL.9_1,Basilan,NA,Lantawan,NA,NA,Bayan|Munisipyo,Municipality,150703,PH.BS.LN
PHL.9.7_1,PHL,Philippines,PHL.9_1,Basilan,NA,Maluso,NA,NA,Bayan|Munisipyo,Municipality,150704,PH.BS.ML
